,userid
5657,83589156
5670,7015471
5682,264500948
5688,5250
5689,157530604
5697,65147980
5701,143643478
5713,64754418
5734,96607408
5749,4824107
5757,264625792
5759,127220350
5806,242937979
5819,74157312
5834,153495323
5838,49724738
5847,33452361
5867,28711405
5868,121577821
5869,195105284
5875,148467772
5876,170382539
5878,64060101
5879,171383863
5881,115404202
5886,149331941
5894,160042745
5895,61099969
5898,152983035
5899,90956570
5903,154533830
5905,29569611
5907,2110581
5914,167013261
5924,10856494
5926,77542968
5934,9845449
5944,14671378
5946,112763045
5953,60549077
5963,198735293
5984,103574570
5986,167106826
5990,138570935
5991,62317148
5994,151397156
5996,121280370
5998,142183287
6002,55319994
6006,80164199
6010,62545742
6013,174415183
6018,159777976
6019,90541290
6020,96771844
6028,107886872
6032,242242432
6034,64350600
6035,49769103
6042,74232403
6044,117129725
6045,85643975
6050,122803519
6051,157469247
6053,49767455
6054,85714521
6055,32498610
6059,217709850
6060,26430231
6064,121900241
6065,81556495
6070,152585209
6071,240405101
6072,59101095
6075,131785763
6082,97303314
6087,83168693
6091,67083031
6099,65872385
6104,35009482
6106,82020006
6112,118792304
6113,120116659
6115,234108053
6130,182422786
6131,80386506
6132,14417857
6141,66687732
6159,37706629
6162,32847394
6180,27169419
6192,113268833
6210,170911456
6236,110194091
6239,81901544
6286,234488787
6297,93478035
6339,80650761
6348,80604456
6366,223330523
6400,258531019
6403,110412872
6433,80522069
6455,143198617
6456,67965357
6461,150995572
6463,273597380
6468,86433707
6475,126388107
6482,89488150
6486,117695149
6495,216261706
6498,71318298
6499,180438232
6501,56014527
6502,55672384
6504,230031062
6505,40051659
6506,159812802
6508,64027842
6509,250238131
6512,252074145
6517,35047392
6521,554278
6523,134224287
6524,159814545
6525,123734483
6526,54402999
6573,184694766
6575,159724167
6580,182499490
6582,113446397
6585,93259090
6589,100719181
6591,121865430
6602,43936108
6605,124776658
6606,19668647
6614,93882483
6616,13556140
6622,228919399
6625,53258793
6626,184554757
6628,56901667
6632,110104967
6634,116024605
6639,209985078
6641,35177894
6645,70075801
6649,159535257
6653,159595237
6654,128925610
6657,209087920
6658,159842342
6662,133938767
6668,172111265
6670,8311704
6675,47364777
6676,130351904
6677,96902425
6679,263993336
6680,39834113
6684,243540632
6685,45957399
6687,64079170
6689,73513367
6690,222050169
6696,74126541
6699,30572170
6700,116437770
6709,167118460
6710,159377740
6711,29753085
6713,121199670
6714,160055758
6716,90033155
6720,159865370
6721,63895034
6726,44169472
6727,159852613
6729,100630947
6731,159158411
6733,159683231
6736,201978799
6737,29302014
6738,75738431
6745,97667936
6747,88661387
6748,168881981
6752,45807245
6754,209238287
6757,144412676
6760,108771556
6767,250284905
6770,159424645
6779,42935819
6783,163896673
6785,165240612
6817,84513749
6849,85959768
6859,96282673
6862,222060673
6865,87273930
6873,37727952
6876,177466116
6908,38731746
6910,120421832
6914,161084485
6918,207830797
6924,178423779
6925,107567915
6928,119530092
6930,173299790
6934,159835968
6943,48175931
6949,54194546
6953,181597796
6956,141513178
6958,134213189
6959,205285563
6997,28731346
7002,84221022
7027,38293596
7040,48149238
7059,207208914
7077,54888069
7091,98312003
7101,256452263
7103,109201849
7122,152861732
7123,74161590
7182,135091121
7205,43908860
7219,227083521
7223,39446138
7240,118693973
7248,156879739
7260,82448039
7277,192105970
7303,89422440
7340,249570072
7355,111044780
7358,116617462
7367,189818681
7393,133459021
7398,158655873
7404,132180557
7406,70970228
7409,141873792
7423,99017037
7425,293269191
7428,179481154
7444,71411882
7456,161211955
7467,90672622
7473,131386705
7480,107124480
7484,133268706
7486,123338258
7492,59099129
7494,48449055
7495,253961136
7497,88173801
7504,76787637
7527,132008856
7528,122444332
7529,44426653
7531,268487512
7533,156941467
7534,161384593
7540,58953935
7542,33580866
7543,65155942
7546,186483761
7548,64368515
7552,159524722
7553,209658229
7563,110875215
7567,159474046
7568,63753977
7569,77507107
7576,11024186
7577,281535206
7578,173649791
7583,174838943
7589,53901705
7590,151938509
7593,106901665
7595,159936874
7596,52435421
7599,7163917
7601,61289147
7602,105586920
7604,174033209
7608,18036199
7611,136891549
7613,160029841
7618,121531316
7619,180406842
7621,109207860
7647,97818502
7663,111003065
7665,199628395
7691,215586007
7696,80384872
7704,165065938
7711,38179194
7712,123449538
7721,223589417
7743,157899431
7749,86287245
7752,116515230
7765,22865756
7769,83148759
7786,209623250
7788,241776037
7791,218317467
7797,83599495
7802,96836693
7803,137755956
7808,120514265
7837,116626402
7848,142971534
7868,113544961
7884,160601937
7902,110899658
7912,107359794
7918,85298989
7925,90626360
